OBJECTID,geoid,county_fip,tract,tot_pop_po,tot_pop_ci,tot_pop_ov,tot_hh,tot_fam,pop_over75,pop_poc,pop_spfam,pop_lep,pop_below2,pop_disabi,pop_hus_re,pop_zvhhs,pct_over75,pct_poc,pct_spfam,pct_lep,pct_below2,pct_disab,pct_hus_re,pct_zvhhs,poc_halfsd,spfam_half,lep_halfsd,below200_h,disab_half,hus_re_hal,zvhh_halfs,epc_class,epc_flag,Shape__Area,Shape__Length
1,06001442700,1,442700,3227,3227,3009,1037,856,219,2017,23,126,235,257,16,0,0.067864902317524,0.625038981437683,0.0268692001700401,0.0418744012713432,0.0728230997920036,0.0796405002474785,0.0154291000217199,0,0,0,0,0,0,,0,NA,0,0.000125802725960966,0.0489456671430177
2,06001442800,1,442800,3024,3051,2840,925,715,197,1935,75,264,619,267,41,29,0.0645689964294434,0.634217977523804,0.104895003139973,0.0929576978087425,0.204695999622345,0.0875122994184494,0.0443243011832237,0.0313513986766338,0,0,0,0,0,,0,NA,0,0.000130337474274711,0.0492104678500942
3,06001423602,1,423602,5355,5380,5455,2262,287,87,3182,63,92,3451,116,983,894,0.0159486997872591,0.583317995071411,0.21951200067997,0.0168653000146151,0.644443988800049,0.0215613003820181,0.434570997953415,0.395224988460541,0,1,0,1,0,,1,High,1,4.1419663830311E-05,0.0300524367125601
4,06075016700,75,16700,4805,4852,4717,2422,846,144,1387,83,5,616,395,208,841,0.029611399397254,0.285214990377426,0.0981087014079094,0.00106000003870577,0.128199994564056,0.0814097002148628,0.0858794003725052,0.347234010696411,0,0,0,0,0,,1,NA,0,5.01782228639058E-05,0.0364105308963571
5,06001421500,1,421500,3799,3827,3643,1579,998,422,703,53,10,157,229,10,37,0.110269002616405,0.183695003390312,0.0531061999499798,0.00274498993530869,0.0413267016410828,0.0598380006849766,0.0063331201672554,0.0234325993806124,0,0,0,0,0,,0,NA,0,0.000161859623858618,0.0735068220937367
6,06001442900,1,442900,8064,8064,7598,2354,1892,418,5552,102,603,872,643,29,51,0.0518032014369965,0.688064992427826,0.0539112016558647,0.0793630033731461,0.108134999871254,0.0797370970249176,0.0123194996267557,0.0216652993112803,0,0,0,0,0,,0,NA,0,0.000210618531127693,0.0680341314611099
7,06001443001,1,443001,2887,2906,2790,833,709,64,2220,60,402,400,278,12,4,0.0220234002918005,0.763936996459961,0.0846261978149414,0.144086003303528,0.138551995158195,0.0956640988588333,0.0144058000296354,0.00480192014947534,1,0,1,0,0,,0,NA,0,7.8348467923206E-05,0.039225292398672
8,06001443002,1,443002,6570,6589,6255,1887,1632,264,5047,157,600,1216,414,87,8,0.0400668010115623,0.76597398519516,0.0962010025978088,0.0959232971072197,0.185084000229836,0.0628319978713989,0.0461049005389214,0.00423952983692288,1,0,0,0,0,,0,NA,0,0.000161061445851374,0.0517267795966287
9,06001443102,1,443102,4786,4786,4532,1531,1417,303,3962,65,220,296,330,19,33,0.0633096992969513,0.827830970287323,0.0458716005086899,0.0485436990857124,0.061847098171711,0.0689511001110077,0.0124102002009749,0.0215544998645782,1,0,0,0,0,,0,NA,0,0.00024124940546244,0.066107061977594
10,06001443301,1,443301,4160,4173,3879,1215,1086,147,3165,11,175,190,257,15,0,0.0352265015244484,0.758446991443634,0.0101289004087448,0.0451146997511387,0.0456730984151363,0.0615863986313343,0.0123456995934248,0,1,0,0,0,0,,0,NA,0,0.000160694752139534,0.0678210006309141
